"phenotype","model","contrast","rank","GOID","TERM","ONTOLOGY"
"mct","lifestyle","ci_num2_mct1","parent_term_3","GO:0071577","zinc ion transmembrane transport","BP"
"mct","AD","ci_num2_mct1","parent_term_1","GO:0006635","fatty acid beta-oxidation","BP"
"mct","AD","ci_num2_mct1","parent_term_2","GO:0007007","inner mitochondrial membrane organization","BP"
"mct","AD","ci_num2_mct1","parent_term_3","GO:0071577","zinc ion transmembrane transport","BP"
"mct","path","ci_num2_mct1","parent_term_1","GO:0006635","fatty acid beta-oxidation","BP"
"mct","path","ci_num2_mct1","parent_term_2","GO:0009615","response to virus","BP"
"mct","path","ci_num2_mct1","parent_term_3","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"gct","basic","ci_num2_gct1","parent_term_1","GO:0032212","positive regulation of telomere maintenance via telomerase","BP"
"gct","basic","ci_num2_gct1","parent_term_2","GO:0070936","protein K48-linked ubiquitination","BP"
"gct","basic","ci_num2_gct1","parent_term_3","GO:2000463","positive regulation of excitatory postsynaptic potential","BP"
"gct","lifestyle","ci_num2_gct1","parent_term_1","GO:0070936","protein K48-linked ubiquitination","BP"
"gct","lifestyle","ci_num2_gct1","parent_term_2","GO:0000082","G1/S transition of mitotic cell cycle","BP"
"gct","lifestyle","ci_num2_gct1","parent_term_3","GO:0030036","actin cytoskeleton organization","BP"
"gct","AD","ci_num2_gct1","parent_term_1","GO:0070936","protein K48-linked ubiquitination","BP"
"gct","AD","ci_num2_gct1","parent_term_2","GO:0032212","positive regulation of telomere maintenance via telomerase","BP"
"gct","AD","ci_num2_gct1","parent_term_3","GO:0000082","G1/S transition of mitotic cell cycle","BP"
"gct","path","ci_num2_gct1","parent_term_1","GO:0032212","positive regulation of telomere maintenance via telomerase","BP"
"gct","path","ci_num2_gct1","parent_term_2","GO:0016241","regulation of macroautophagy","BP"
"gct","path","ci_num2_gct1","parent_term_3","GO:0045116","protein neddylation","BP"
